date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2022-09-07 00:00:00+05:30,11135.6900,11135.6900,0.0000,0.0000,10000.0000,0.0000,0.0000,1135.6900,1135.6900,11135.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1136,0.1752,-0.0216,-0.0280,0.1949,9996.6828,-0.0013,-0.0003709897841250253,0.3044397140328198
2022-09-08 00:00:00+05:30,11135.6900,11135.6900,0.0000,0.0000,10000.0000,0.0000,0.0000,1135.6900,1135.6900,11135.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1136,0.1747,-0.0216,-0.0366,0.1949,10093.4203,0.0097,-0.0005350609431620065,0.32189243204777856
2022-09-09 00:00:00+05:30,11135.6900,11135.6900,0.0000,0.0000,10000.0000,0.0000,0.0000,1135.6900,1135.6900,11135.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1136,0.1742,-0.0216,-0.0366,0.1949,10109.9780,0.0016,-0.0007806989585710529,0.37300347610446455
2022-09-12 00:00:00+05:30,11135.6900,11135.6900,0.0000,0.0000,10000.0000,0.0000,0.0000,1135.6900,1135.6900,11135.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1136,0.1737,-0.0216,0.0194,0.1949,10167.9865,0.0057,-0.0008425415072817827,0.37480921758556174
2022-09-13 00:00:00+05:30,11135.6900,11135.6900,0.0000,0.0000,10000.0000,0.0000,0.0000,1135.6900,1135.6900,11135.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1136,0.1732,-0.0216,0.0194,0.1949,10244.4805,0.0075,-0.0008599086278673315,0.37185825598430666
2022-09-14 00:00:00+05:30,11129.8300,11129.8300,0.0000,0.0000,10000.0000,0.0000,0.0000,1129.8300,1129.8300,11129.8300,0.0000,0.0000,-5.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0005,0.1130,0.1727,-0.0221,0.1036,0.1946,10207.1408,-0.0036,-0.001119697809951192,0.4252606374009062
2022-09-15 00:00:00+05:30,11129.8300,11129.8300,0.0000,0.0000,10000.0000,0.0000,0.0000,1129.8300,1129.8300,11129.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1130,0.1722,-0.0221,1.2106,0.1710,10134.3608,-0.0071,-0.0009714027858924706,0.4126166867325625
2022-09-16 00:00:00+05:30,11129.8300,11129.8300,0.0000,0.0000,10000.0000,0.0000,0.0000,1129.8300,1129.8300,11129.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1130,0.1717,-0.0221,0.1027,0.1431,9951.6596,-0.0180,-1.814462449336446e-05,0.37326497658343055
2022-09-19 00:00:00+05:30,11129.8300,11129.8300,0.0000,0.0000,10000.0000,0.0000,0.0000,1129.8300,1129.8300,11129.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1130,0.1712,-0.0221,0.4129,0.1414,9998.0153,0.0047,-0.0003992410706831665,0.22748449799263992
2022-09-20 00:00:00+05:30,11129.8300,11129.8300,0.0000,0.0000,10000.0000,0.0000,0.0000,1129.8300,1129.8300,11129.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1130,0.1707,-0.0221,0.4129,0.1414,10089.1958,0.0091,-0.00024110320297864499,0.1953135787638843
